Date,Price,Open,High,Low,Change
1989-05-29,1.0357,1.0357,1.0383,1.0319,-1.24
1989-05-30,1.0433,1.0433,1.0441,1.0279,0.73
1989-05-31,1.0469,1.0469,1.0533,1.0404,0.35
1989-06-01,1.0485,1.0485,1.0507,1.0418,0.15
1989-06-02,1.0674,1.0674,1.0692,1.0499,1.8
1989-06-03,1.0674,1.0674,1.0692,1.0499,1.8
1989-06-04,1.0674,1.0674,1.0692,1.0499,1.8
1989-06-05,1.046,1.046,1.07,1.0438,-2
1989-06-06,1.0508,1.0508,1.0526,1.0404,0.46
1989-06-07,1.0507,1.0507,1.0573,1.0475,-0.01
1989-06-08,1.0529,1.0529,1.0534,1.0475,0.21
1989-06-09,1.0317,1.0317,1.0524,1.0313,-2.01
1989-06-10,1.0317,1.0317,1.0524,1.0313,-2.01
1989-06-11,1.0317,1.0317,1.0524,1.0313,-2.01
1989-06-12,1.0272,1.0272,1.0296,1.0199,-0.44
1989-06-13,1.0284,1.0284,1.0305,1.0211,0.12
1989-06-14,1.0191,1.0191,1.0299,1.0186,-0.9
1989-06-15,1.0294,1.0294,1.0296,1.0114,1.01
1989-06-16,1.0436,1.0436,1.0476,1.0299,1.38
1989-06-17,1.0436,1.0436,1.0476,1.0299,1.38
1989-06-18,1.0436,1.0436,1.0476,1.0299,1.38
1989-06-19,1.047,1.047,1.0497,1.0364,0.33
1989-06-20,1.0415,1.0415,1.0529,1.0403,-0.53
1989-06-21,1.0564,1.0564,1.0564,1.0379,1.43
1989-06-22,1.0623,1.0623,1.0623,1.0492,0.56
1989-06-23,1.0638,1.0638,1.0704,1.0534,0.14
1989-06-24,1.0638,1.0638,1.0704,1.0534,0.14
1989-06-25,1.0638,1.0638,1.0704,1.0534,0.14
1989-06-26,1.055,1.055,1.0607,1.0526,-0.83
1989-06-27,1.0588,1.0588,1.0634,1.0549,0.36
1989-06-28,1.0538,1.0538,1.0576,1.0491,-0.47
1989-06-29,1.0531,1.0531,1.0665,1.0524,-0.07
1989-06-30,1.0588,1.0588,1.0608,1.053,0.54
1989-07-01,1.0588,1.0588,1.0608,1.053,0.54
